match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504960,2026-05-11 06:25:00,乌拉圭甲组联赛,蒙特维多国民队,切洛,69.56%,18.44%,12.00%,2.124,0.758,0.8834,0.7745,0.8163,"1, 2, 3, 4, 5",2026-05-11 08:17:15
503248,2026-05-11 06:30:00,巴西甲组联赛,甘美奥,法林明高,24.52%,25.67%,49.81%,0.980,1.506,0.8337,0.8495,0.9415,"1, 2, 3, 4",2026-05-11 08:17:24
503183,2026-05-11 07:00:00,美国职业大联盟联赛,明尼苏达联,奥斯汀FC,56.44%,21.84%,21.72%,1.904,1.113,0.9708,0.8299,0.7819,"1, 2, 3, 4, 5",2026-05-11 08:17:33
503659,2026-05-11 07:00:00,墨西哥超级联赛,帕丘卡,托卢卡,31.66%,23.70%,44.64%,1.390,1.679,0.7756,0.8415,1.0178,"1, 2, 3, 4, 5",2026-05-11 08:17:43
503229,2026-05-11 07:00:00,美国国家女子联赛,西雅图王朝女足,华盛顿精神女足,20.47%,23.85%,55.68%,0.926,1.684,1.0952,0.7822,0.8074,"1, 2, 3, 4",2026-05-11 08:17:52
503249,2026-05-11 07:30:00,巴西甲组联赛,华斯高,帕拉尼恩斯,49.20%,25.96%,24.84%,1.477,0.981,0.8856,0.8566,0.9390,"1, 2, 3, 4",2026-05-11 08:18:01
505058,2026-05-11 08:15:00,墨西哥女子超级联赛,蒙特雷女足,帕丘卡女足,41.42%,23.69%,34.89%,1.629,1.478,0.8284,0.7700,0.9490,"1, 2, 3, 4, 5",2026-05-11 08:18:11
505001,2026-05-11 08:30:00,阿根廷甲组联赛,沙士菲,甘拿斯亚,52.18%,26.27%,21.55%,1.469,0.849,1.0854,0.7356,0.7541,"0, 1, 2, 3, 4",2026-05-11 08:18:20
503184,2026-05-11 09:00:00,美国职业大联盟联赛,洛杉矶FC,侯斯顿戴拿模,59.06%,21.00%,19.93%,1.994,1.089,0.9450,0.7981,0.8472,"1, 2, 3, 4, 5",2026-05-11 08:18:30
503660,2026-05-11 09:15:00,墨西哥超级联赛,普马斯,阿美利加会,34.97%,24.33%,40.70%,1.420,1.548,0.8288,0.8540,0.9645,"1, 2, 3, 4, 5",2026-05-11 08:18:39
